pax	PABGS
reconciling	REBG/SAOEUL/-G
flu	TPHRU, TPHRAO*U
toolchain	TAOL/KHAEUPB
resorption	RE/SORPGS
Photostat	TPOET/STAT
committee	KPHAOE, KPHEUT/TAOE, KPHEUT/WREU, KPHEUT/KWREU, KPHEUT/TAE, KPHAOET, KOPL/PHEUT/TAOE, KPHEUT/KWRAE, KPHEUT/AOE
tachyphylaxis	TABG/KWREU/TPHRABGS/EUS, TABG/TPHRABGS/EUS
scuffed	SKUF/-D
Depakene	TKEP/KAOEPB
Godzilla	TKPWOD/S*EUL/HRA
Imhotep	EUPL/HOE/TEP
worrywart	WOR/KWREU/WART, WOR/EU/WART, WOR/REU/WART
had not	H-PBLT
{ophthalmo^}	OP/THAL/PHO
UUID	KWRAO*UD
<br>	PWR
roommates	RAOPL/PHAEUTS
tension	TEPBGS, TEPGS, TEPBLGS
Boeing	PWOE/WEUPBG, PWO*EUPBG, PWOEPBG, PWO*E/-G
QGIS	KW*P/TKPWEUS
seca	SAEU/KA*, SAEUBG/KWRA
specious	SPAOERB/-RBS, SPAOERB/OUS, SPAOERBS, SPAOE/-RBS, SPAOE/SHUS
schtick	STAOEBG, STAO*EBG
{^izable}	AOEUBL
spondee	SPOPBD/KWRAE, SPOPB/TKAOE
ready	RAED/KWREU, RED/KWREU, R-D, RAED/TKEU, R*ED, RED/TKEU, TKRAE
looker	HRAORBG
corrupted	KRUPT/-D
chrono	KROE/TPHOE, KRO/TPHO
Indian	EUPBD/KWRAPB
Fluzone	TPHRU/SO*EPB
dysuria{,}	TKEUS/AOUR/KWRARBGS
fimbriae	TPEUPL/PWREU/AOEU
soundtrack	SOUPBD/TRABG, SOUPBD/STRABG
amortization	APL/ORT/SA*EUGS, A/PHORD/SA*EUGS, A/PHORT/SA*EUGS, A/PHORT/SAEUGS
bigot	PWEUG/OT, PWEUGT
COCOMO	KOEBG/PHOE, KOE/KOE/PHOE
globulin	TKPWHROB/HREUPB
Aquitaine	ABG/WEU/TAEUPB
granting	TKPWRAPBT/-G
Labrador	HRAB/RA/TKOR, HRA/PWRA/TKOR
Jackson Heights	SKWRABG/SO*PB/HAOEUT/-S
burdened	PWURD/-D, PWURD/-PBD, PWURD/*EPB/-D
gluten	TKPWHRAOUT/*EPB, TKPWHRAOUPB, TKPWHRAO*UPB, TKPWHRAO*UT/*EPB
circularity	SOEURBG/HRAEUR/TEU, SEURBG/HRAEURT
singularity	SEUPBG/HRAR/TEU, SEUPB/TKPWU/HRAR/TEU, SEUPBG/KWRU/HRAR/TEU, SEUPBG/KWRAOU/HRAR/TEU, SEUPBG/HRAEURT, SEUPB/TKPWAOU/HRAR/TEU
reductio	RE/TKUBG/SHOE, RE/TKUBGT/KWROE
simulation	SEUPL/HRAEUGS, SEUPL/KWRAOU/HRAEUGS, SEUPL/KWRU/HRAEUGS
galactitol	TKPWA/HRABG/TEU/TOL
grumbler	TKPWRUPL/-BL/ER, TKPWRUPL/PWHRER
surmising	SUR/PHAOEUZ/-G
be	-B
edit	ED/TKEUT, *ETD, ETDZ, ETD, ED/EUT
phon	TPOPB
flagrante	TPHRA/TKPWRAPB/TAOE
retinology	RET/TPHOLG
evanesce	AOE/SRA/TPHES, EF/TPHES, *EF/TPHES
short-winded	SHORT/WEUPBD/-D
fuddy-duddy	TPUD/KWREU/TKUD/KWREU
ficus	TPAOEUBG/US, TPAOEUBG/SKWRUS
dahlias	TKAEUL/KWRAS
papyracea	PAEUP/RA/SA
half an hour	HAF/TPHO*UR
carbo	KARB/SKWRO, KAR/PWO, KAR/PWOE, KARB/SKWRO*
decarboxylation	TKE/A*RB/OBGS/HRAEUGS, TKE/KA*RB/OBGS/HRAEUGS
stun	STUPB
nationalities	TPHAGS/ALTS
necklaces	TPHEBG/HRAS/-S
belonged	PWHROPBGDZ, PWHROPBGD, PWAOE/HROPBG/-D, PWHROPBLGD
animatic	APB/PHAT/EUBG
amytal	APL/TAL
Kenalog	K*EPB/HROG
forked	TPORBGD
outlawed	AOUT/HRAUD
sway	SWAEU
commonwealth	KOPL/PHOPB/W*ELT, KPHOPB/W*ELT
(muffled speech)	PH-FL
friendliest	TPREPBD/HREU/*ES
Bézier	PWEZ/KWRAEU
emigrate	EPL/TKPWRAEUT
Future Perfect	TPAO*URT/P-FR
glycotic	TKPWHRAOU/KOT/EUBG
mulatto	PHAOU/HRAT/TOE, PHAOU/HRA/TO, PHU/HRAT/TOE
Dobson	TKOB/SO*PB
couples	KUPLS, KUP/-LS, KOUP/-LS
careen	KA/RAOEPB
snatched	STPHAFPD, STPHAFP/-D
aspirant	AS/PRAPBT, AFP/RAPBT, A/SPAOEUR/APBT, AS/PEU/RAPBT
sentiments	SEPBT/-PLTS
{^ed to}	TOD, TOTD
subplot	SAUB/PHROT, SUB/PHROT
ban	PWAPB
bluffs	PWHRUFS
mesotheliomas	PHES/THAOEL/KWROE/PHA/-S
Lucy	HRAOUS/KWREU, HRAO*US/SEU, HRAO*US/KWREU, HRAOU/SEU
coroner	KOERPB, KOR/TPHER, KO*R/TPHER, KO/RO/TPHER, KORPB/TPHER, KOR/RO/TPHER
Blackman	PWHRABG/PHA*PB
Moulin Rouge	PHAOUL/*EUPB/RAOUPBLG
dyeing	TKAO*EU/-G
buddies	PWUD/KWREUS/-S, PWUD/KWREU/-S
Orphic	AUR/TPEUBG, O*R/TPEUBG, OER/TPEUBG
could want	KOUPT
shed	SHED
gustatory	TKPWUFT/TA/TOER, TKPW*US/TOEUR, TKPWUFT/TOER
florist	TPHROER/*EUS, TPHROR/EUFT, TPHROR/*EUS, TPHRAUR/EUFT
hecatomb	HEBG/TAOUPL
cookware	KAOBG/WAEUR
micturate	PHEUBGT/RAEUT
tendered	TEPBD/ERD, TEPB/TKER/-D
glazed	TKPWHRAEUFD
boric	PWOER/EUBG, PWOR/EUBG, PWOERBG
ooh{,}	AORBGS
ledge	HREPBLG
def	TK-F
pasteurella	PAS/TAOUR/EL/HRA, PAFT/REL/HRA
boyhood	PWOEU/HAOD
woot	WAOT
pointblank	POEUPBT/PWHRAPBG
graphing	TKPWRAFG
joggers	SKWROG/ERS
postdate	POEFT/TKAEUT
perhaps	PRAPTS, PER/HAPS, PRAPS, PRAP/-S, PRAPGS, PER/HAP/-S
bedside	PWED/SAOEUD, PWED/SAO*EUD, PWED/SAOEUTD
trilogy	TREUL/SKWREU, TREULG
checkmate	KHEBG/PHAEUT
everglade	-FR/TKPWHRAEUD, *FR/TKPWHRAEUD
stabbing	STAB/-G
equable	AOE/KWABL, EBG/WEU/-BL, AOEBG/WABL, EBG/WEUBL, EBG/WABL
Joachim	SKWROE/KAOEPL, KWROE/KEUPL
bottled	PWO*LTD, PWOT/-LD
Delano	TK*EL/TPHOE
interpolation	EUPB/TERP/HRAEUGS, EUPBT/PHRAEUGS, SPWER/PO/HRAEUGS, SPWERP/HRAEUGS, SPWER/PHRAEUGS, SPWER/POE/HRAEUGS
{^-scan}	SKA*PB
surrogates	SUR/TKPWAT/-S
gristmill	TKPWR*EUS/PHEUL
boondoggle	PWAOPB/TKOG/*L, PWAOPB/TKOG/-L
preventing	PRAOE/SREPBT/-G, PRAOEPBGT, PRE/SREPBT/-G
lied	HRAOEUD
gunnery	TKPWUPB/REU, TKPWUPB/ER/REU
Ricardo	REUBG/ARD/O*, REU/KARD/TKOE, REU/KARD/SKWRO, REUBG/KARD/TKOE, REUBG/ARD/SKWRO
frequent to	TPROELG
cackle	KABG/-L, KABG/*L
lam	HRAEPL
them to	THOEUPL
bicycled	PW*EU/SEUBG/-LD
rar	RAR
theodicies	THO*EU/TKAOEUS/-S
lunchbox	HRUPBS/PWOBGS, HRUFRPBLG/PWOBGS, HRUFRPB/PWOBGS, HRUPB/-FP/PWOBGS
gluteus	TKPWHRAOUT/KWRUS
technospeak	TEBG/TPHO/SPAOEBG
revel	R*EFL, R*EF/EL, REFL
folia	TPOEL/KWRA
Guam	TKPWAOUPL, TKPWAUPL
intents	EUPB/TEPBTS
rectify	REBGT/TPAOEU, REBGT/TPEU, REBG/TEU/TPEU
stanols	STAPB/OLS
Daytona	TKAEU/TOE/TPHA
theorem	THAOE/REPL, THOEUR/EPL, THAOER/EPL, THAOERPL, THAOER/REPL
grounds	TKPWROUPBDZ
chirality	KHAOEUR/A*L/TEU, KHAOEUR/ALT
must even	PH*US/AOEF/-PB
re-ask	RE/SK
theology	THAOELG, THOEU/OLG, THE/OLG, THAOE/OLG, THAOE/KWROLG
exude	KPAOUD, EBGS/AOUD
Audrey	AUD/REU
felonies	TPEL/TPHEUS
outweighs	AOUT/WAE/-S
teak	TAOEBG
jetee	SKWRET/TAEU
oldie	OELD/KWRAOE
porta	PORT/KWRA
arachidon	AEUR/EUBG/TKOPB
Adler	AD/HRER
teeter-totter	TAOET/*ER/TOT/*ER
did a	TKPA*, TKA*
Jessica Lange	SKWRES/KA/HRAPBG
lymphedema	HR*EUFPL/AOEPLD, HREUFPL/AOEPLD
totem	TOET/EPL, TOE/TEPL, TOET/UPL
outfielder	AOUT/TPAOELD/*ER, O*UT/TPAOEL/TKER
monogamy	PHOPB/OG/PH*EU, PHOPB/TPHOG/PH*EU, PHOPB/OG/PHEU, PHO/TPHOG/PH*EU
divisions	TKPWEUGS/-S, TKWEUGS/-S
Ramos	RAEUPL/OES, RAEUPL/OS, RAPL/OES, RAPL/OS
Sousa	SAOUZ/KWRA, SAOUS/KWRA
Betamax	PWO*EUT/PHABGS, PWO*EUT/PHA*BGS
worsens	WORS/EPBS, WORS/-PBS, WORS/*EPBS
napkin	TPHAP/KEUPB
whisked	WHEUS/-BGD, WHEUFBGD
injured	SKWR-RD, SKWR*RB/-D, SKWRERDZ, SKWR*RD, SKWR*R/-D
deceased	TKE/SAOEFD, TKE/SAOES/-D
Lexapro	HREBGS/PROE
Buster Keaton	PWUFT/*ER/KAOET/O*PB
melancholily	PHEL/APB/KOL/HREU/HREU, PHEL/HRAPB/KOL/HREU/HREU
raycast	RAEU/KAFT
lawns	HRAUPB/-S, HRAUPBS
printmaker	PREUPBT/PHA*EUBG/*ER
wanker	WA*PBG/*ER
generalized	SKWREPB/AOEUZ/-D
suited	SAOUT/-D, SAOUTD
Puppet Labs	PUPT/HRABS
stiffened	STEUFPB/-D, STEUFPBD, STEUF/EPBD, STEUF/-PBD
sixty-four	SEUBGT/TPOUR
ambulation	APL/HRAEUGS, APL/PWAOU/HRAEUGS, APL/PWHRAEUGS, OPL/HRAEUGS
ocelot	OS/HROT
Michaela	PHEU/KAEUL/HRA, PHEUBG/KAEUL/HRA
reggae	REG/KWRAE, REG/AE, REG/TKPWAE
salespeople	SAELS/PAOEPL, SAEULS/PAOEPL, SAELS/PAOEP/-L
brightly	PWRAOEULT, PWREUT/KWRAPBT/HREU
pistoulet	PEUS/TO*EL/ET
sriracha	SREU/RA/KHEU, SREU/RAFP/KHA, SHREU/RAFP/KHEU, SRAFP/KWRA, SREU/RA/KHA, SA/RAFP/KHEU, SREU/KHAFP/KHEU
reasoned	RE/SOPB/-D, R-PBD, R-PB/-D
Hassan	HAFPB, HAS/A*PB, HAS/SAPB, HA/SAPB
Angelica	APB/SKWREL/KA
escorted	ES/KORT/-D
communicability	KPHAOUPB/KABLT
some accessory	SOPL/ABG/SES/REU
Szechwan	SEFP/WAPB, SHES/WAPB
crackhead	KRABG/H*ED
Los Feliz	HROS/TPAOE/HREUZ
Contragate	KOPB/TRA/TKPWAEUT, KOPB/TRA/TKPWAET
countersigns	KOUPB/TER/SAOEUPBS
dirge	TKEURPBLG
part of the	PAFRT
Weiner	WAOEUPB/ER
achiest	AEUBG/KWR*ES
insincere	EUPB/SEUPB/SAOER
New York City	TPHO*RPBGS, TPHO*RBGS, TPHAO*EU/TPHAO*EU/STEU, TPHORBG/SEUT/TEU, TPHU/KWRORBG/STEU, TPHO*RBG/STEU, TPHU/KWRORBG/SEUT/TEU, TPHAO*EU/TPHAO*EU/SEUT/TEU, TPO*RBGS, TPHORBG/STEU
foreboding	TPOER/PWOED/-G
appellate court	PHR-BGT, PHROURT
figs	TPEUG/-Z, TPEUGZ
id	EUD
diffuser	TKEUF/TPAOUS/*ER
Broca	PWROE/KA
identifiers	AOEUD/TPEU/ERS, AOEUF/ERS, AOEU/TKEPBT/TPEU/ERS
about affordability	PW/A/TPORD/-BLT
Janessa	SKWRA/TPHES/SA
teenage	TAEUPBLG, TAOEPB/AEUPBL, TAOEPB/AEUPBLG
males	PHAELS, PHAEL/-S
ultimatum	ULT/PHAEUT/SKWRUPL, ULT/PHAEUT/TUPL, ULT/PHAEU/TUPL, ULT/PHAEUT/UPL
Yamaha	KWRA/PHA/HA
squam	SWAEUPL, SKWAPL
s	S*/SP-S
ramble	RAPL/-PBL, RAPL/-BL
Pink Floyd	P*EUPBG/TPHROEUD
{^iom}	KWROPL
chown	KHOEPB
nudity	TPHAOUD/TEU
lending	HREPBD/-G
unstoppable	UPB/STOP/-BL
Apache	A/PAFP/KHAOE, A/PAFP, A/PAFP/SKWRE, A/PAFP/KWREU
what's your occupation	WHA*URBGS
coexist	KOE/EBGS/EUFT, KO/EBGS/EUF, KRO/EBGS/EUFT
vis major	SREUS/PHAEU/SKWROR, SREUS/PHA/KWROR, SREUZ/PHA/KWROR
Ayala	A/KWREL/HRA
over	A*UFR, OEFR
glossary	TKPWHROSZ/REU, TKPWHROS/SAEUR, TKPWHROS/REU
averts	A/SRERTS
Riker	RAOEUBG/*ER
Pandora's	PAPB/TKOE/RA/AES
RhoGAM	ROE/TKPWAPL
Juneau	SKWRAOU/TPHOE
terminates	TERPL/TPHAEUTS, TERPL/TPHAEUT/-S
Swaziland	SWAZ/HRAPBD, SWA/S*EU/HRAPBD, SWAZ/HRA*PBD
splash	SPHRARB
in the Sanders	TPH/-T/SAPBD/*ER/-S
Nina	TPHAOE/TPHA, TPHAOEPB/KWRA, TPHAOEPB/TPHA
Rose Hill	ROES/HEUL
,"	KW-RBGTS
tricksters	TR*EUBGS/ERS
cyclone	SAOEUBG/HROEPB, SKHROEPB, SAOEU/KHROEPB
ammunition	APL/KWRU/TPHEUGS, APL/KWRAOU/TPHEUGS, APL/PHAOU/TPHEUGS, APL/AOUPBGS, APL/TPHEUGS
Oahu	OE/WA/HAOU
Vasquez	SRAS/KWEZ, SRAS/KEZ
catabolize	KAT/PWHRAOEUZ
somy	SOEPL/KWREU
quark	KWARBG
claws	KHRAUZ
rhomboid	ROPL/PWOEUD
Arab Emirates	AR/RAB/EPL/RATS
aphasia	A/TPAEURB/KWRA, A/TPAEU/SHA, A/TPAEUZ/KWRA
Norristown	TPHOR/EUS/TO*UPB
croak	KROEBG
leaf leaflet	HRAOEF/HRAOEF/HRET
cromolyn	KROPL/HREUPB, KROEPL/HREUPB
compel	KPEL, KOPL/PEL
nor	TPHOR, TPH-R
Jon Favreau	SKWROPB/TPAF/ROE
swings	SWEUPBGS, SWEUPBG/-S
ignited	EUG/TPHAOEUT/-D
brothels	PWHRO*T/EL/-S
smacks	SPHABGS, SPHABG/-S
National Institute of Health	TPHAT/STPHAOUT/-F/H*ELT
Clem	KHREPL
which shall	KH-RB
Fayol	TPAEU/OL
Blackmon	PWHRABG/PHO*PB
jogging	SKWROG/-G
boddhisatva	PWOED/SAT/SRA
perpetuating	PER/PET/WAEUT/-G
leprechaun	HREP/RE/KOPB, HREP/RE/KAUPB, HRERP/KAUPB
{^ose}	O*ES, OES
expertise	EBGS/PER/TAOEUS, SPERT/AOES, EBGS/PERT/TAOEZ, SPERT/EUS, EBGS/PER/TAOEZ, EBGS/PERT/EUS, SPERT/TAOES, EBGS/PERT/AOEUS, EBGS/PER/TAOEUZ, EBGS/PER/TAOES
jagged	SKWRAGD
eerily	AOERL, AOER/HREU
Notes From Underground	TPHOET/-S/TPR/UPBD/TKPWROUPBD
Jeeves	SKWRAOEFS
terrorize	TER/RAOEUZ
mannerisms	PHAPB/REUFPL/-S, PHAPB/REUFPLS
malefactor	PHAL/TPABG/TOR, PHAL/TPABGT/TOR, PHAL/TPABGT/O*R
Acadian	A/KAEUD/KWRAPB
retch	REFP
dumpty	TK*UPLT/KWREU
chowder	KHOU/TKER, KHOUD/ER, KHOUD/*ER
rename	RE/TPHAEUPL, RAOE/TPHAEUPL
smartphone	SPHART/TPOEPB
pike	PAOEUBG
tangency	TAPB/SKWREPB/SEU
resume	RAOUPL, REZ/PHAEU, RES/AOUPL, RES/PHAEU, RAOE/SAOUPL, RE/SAO*UPL, RE/SAOUPL
prophesies	PROF/SEUS
these essay	THAOES/ES/SAEU
adulate	AD/KWRU/HRAEUT, AD/KWRAOU/HRAEUT
lifer	HRAOEUF/ER, HRAOEUFR
Buddhism	PWAOUD/TKEUFPL, PWAOUD/EUFPL
secretagogues	SKRAOET/TKPWOGS
Descemet's	TKES/PHAEUS, TKES/PHETS
stem cells	STRELS, STR*ELS, SKR*ELS
jungle	SKPWRUPBG/*L, SKWRUPBG/-L, SKWRUPBG/*L
homemaker	HOEPL/PHAEUBG/*ER, HOEPL/PHAEUBG/ER
cliched	KHRAOE/SHAEU/-D, KHRAOE/KHAEU/-D
theatrics	THAOERT/EUBG/-S
fizzles	TPEUZ/-LS
hustle	HUS/*L, H*US/-L, H*UFL, HUFL, HUS/-L
a predictor of	AEU/PREUBGT/O*FR
tug	TUG
mainstreamed	PHAEUPB/STRAOEPL/-D, PHAEUPB/STRAOEPLD
titanate	TAOEU/TAPB/TPHAEUT, TAOEUT/TPHAEUT, TAOEU/TA/TPHAEUT
communism	KOPL/PHAOU/TPHEUFPL, KOPL/KWRAOU/TPHEUFPL, KOPL/KWRU/TPHEUFPL, KPHAOU/TPHEUFPL, KPHAOUPB/EUFPL, KOPL/PHAOUPB/EUFPL
Conde Nast	KOPB/TKAEU/TPHAFT, KAUPB/TKAEU/TPHAFT
reflector	RE/TPHREBGT/TOR, RE/TPHREBGT/O*R, RE/TPHREBG/TOR
point-blank	POEUPBT/PWHRA*PBG, POEUPBT/PWHRAPB/-BG
insurgence	EUPB/SURPBLG/EPBS, EUPB/SUR/SKWREPBS
{tropo^}	TRO/TO
cruzeiro	KRAOU/S*E/ROE
manifesting	PHAPB/TPEFT/-G
MS-DOS	PH-RBGS/S*RBGS/TKOS, PH-RBGS/S*RBGS/H-F/TKOS, PH-RBGS/S-RBGS/TKOS, PH-S/TKO*S
kilocal	KEUL/SKWRO/KAL
hastier	HA*EUS/KWRER
Martin Luther King	PHART/*EUFPB/HRAO*UT/*ER/KEUPBG, PHARPB/HRAO*UT/*ER/KEUPBG, PHART/*EUPB/HRAO*UT/*ER/KEUPBG, 345R9/*EUPB/HRAO*UT/*ER/KEUPBG, PHART/*EUPB/HRAO*UT/*ER/KEURPBG
epiderm	EP/TKERPL
categorization	KOERG/SA*EUGS
when'd	WH*D, WH*EPBD
if I remember correctly	TPEURBGT
Croton Distributing Reservoir	KROT/O*PB/TKR-BT/-G/RES/SROEUR
Adolf	AEUD/OFL, A/TKOFL
assessments	A/SES/-PLTS
brung	PWRUPBG
landmarks	HRAPBD/PHARBGS, HRAPBD/PHA*RBGS
mugs	PHUG/-S, PHUGS
Rosemary	ROES/PHA*ER, ROES/PHAER
glottid	TKPWHROT/EUD
{e^}	AOE
Cosmo	KOS/PHOE
Bank	PWA*EPBG
plethora	PHR*ET/RA, PHRE/THOER/KWRA
homophobic	HOEPL/TPOEB/EUBG, HO/PHO/TPOEB/EUBG, HOEPL/TPO*EBG
#	HA*ERB
pos	POS
imbue	EUPL/PWAOU
freeze-dry	TPRAOEZ/TKRAOEU
BCR	PWR-RBG
charging	KHARPBLG/-G
deposed	TKAOE/POES/-D
no	TPHO, PHO, PHET/TPOER
Parker	PARBG/*ER, PA*RBG/ER
erotophilia	AOE/RO/TO/TPEUL/KWRA
explanatorily	EBGS/PHRAPB/TOEUR/HREU
microchips	PHAOEURBG/SHEUP/-S
creditor	KRED/TOR, KRED/TKEUT/TOR, KRE/TKEU/TOR, KRET/TOR, KRED/TKEU/TOR
Broadway	PWROD/WAEU, PWROED/WAEU, PWRAUD/WAEU, PWRAD/WAEU, PWOD/WAEU, PWROEU, PWRO*EU, PWROD/WA*EU
lowness	HROE/-PBS
cojones	KO/HO/TPHES
spectate	SPEBGT/A*T, SPEBG/TAEUT
Bertrand	PER/TRAPBD
oversupply	AUFR/SPHRAOEU
recasting	RE/KAFT/-G, RAOE/KAFT/-G
rectangle	REBG/TAPBG/*L, REBGT/APG/*L, REBG/TAPBG/-L, REBG/TRAPBG/*L, REBG/TAEUPBG/-L, REBGT/APBG/*L
liturgy	HREUT/URPBLG/KWREU, HREUT/UR/SKWREU
Buckley	PWUBG/HREU
tightwad	TAOEUT/WA*D
lavatory	HRAF/TOER, HRAF/TREU, HRA*F/TOEUR
solid-state	SOLD/STA*EUT
bile	PWAOEUL
pare	PA*EUR, PA*ER
loafer	HROEFR
silks	SEUL/-BGS
diminished	TKPHEURPB/-D, TKPHEUPB/EURBD, TKEUPL/EUPB/EURB/-D, TKPHEURBD
IFS	*EUFS
prudes	PRAOUDZ
models	PHOD/ELS, PHO*LDZ, PHOD/*EL/-S, PHO*PLDZ
bragging	PWRAG/-G
diptheria	TKEUP/THER/KWRA
expendable	EBGS/PEPBD/-BL
vi	SRAO*EU
proquanil	PRO/KWAPB/EUL
pietas	PAOE/AEU/TAS
anathema	APB/A*T/PHA, A/TPHA*T/PHA
caffeine in	KA/TPHAOEPB
singe	SEUPB/-PBLG, SEUPB/*PBLG
trial judge	TR-PBLG
crus	KRUS
modifications	PHOD/TPEUBGS/-S, PHOEUFBGSZ
Manita	PHA/TPHAOET/TA
ignominious	EUG/TPHOPL/TPHOUS, EUG/TPHO/PHEUPB/KWROUS, EUG/TPHOE/PHEUPB/KWROUS
whiskey	WHEUS/KAOE, WHEUFBG/KWREU, WHEUS/KAE, WEUS/KEU, WHEUS/KEU
tiller	TEUL/*ER
philandering	TPEUL/APB/TKER/-G, TPHRAPB/TKER/-G, TPHRAPBD/ERG, TPEU/HRAPBD/ERG, TPEUL/APBD/ER/-G, TPEU/HRAPB/TKER/-G, TPHRAPBD/ER/-G, TPEU/HRAPBD/ER/-G, TPEUL/APBD/ERG
Dumble	TKUFRBL
retractable	RE/TRABGT/-BL
bitmap	PWEUT/PHA*P, PW*EUPL
Tandy	TA*PBD/KWREU
Batman	PWAT/PHAPB, PWAT/PHA*PB
chuckle	KHUBG/*L, KHUBG/-L
succinct	SUS/EUPBGT, SEUBG/SEUPBGT, SU/SEUPBGT, SUBG/SEUPBGT, SUBG/SEUPBGTD, SUBG/SEUPBG, SKEUPBGT, SUS/SEUPBGT
fidelity	TPEUD/ELT, TPEU/TKEL/TEU, TPEU/TKELT, TPAOEU/TKEL/TEU
anaphylaxis	A*PB/TPHRABGS/EUS, ARPB/TPHRABGS/EUS, APB/TPHABGS/EUS, APB/TPHRABGS/EUS, APB/TPHRABGZ/EUSZ
bobsleds	PWOB/SHREDZ
unfortunate	TPHORPBT, UPB/TPORPBT
stenographic	STEPB/TKPWRAFBG, STEPB/TKPWRAF/EUBG, STE/TPHO/TKPWRAF/EUBG, STOEUPB/TKPWRAFBG, STEPB/TPHO/TKPWRAFBG
knight	TPHAO*EUT, TPHAO*EUGT
probability	PROBLT, PROB/-BLT, PROBT, PROB/EUBLT
tingling	TEUPBG/HREUPBG, TEUPBG/HR-G, TEUPBG/-LG
rapport	RAP/POER, RAP/ORT, RAP/POR, RA/POER, RAP/O*R, RA/PORT, RA/POR
developmentalist	SREPLT/A*L/EUFT
Andes	APBD/ES, APB/TKAOES
blogging	PWHROG/-G
sprinted	SPREUPBT/-D
meatloaf	PHAET/HROEF
Photojojo	TPOET/SKWROEPBLG, TPO*EUT/SKWRO/SKWRO, TPOEPBLG, TPO*EUT/SKWROEPBLG
neuroanatomy	TPHAO*UR/APB/AT/PHEU
persecutory	PER/SE/KAOUT/REU, PERS/KAOUT/REU, PERS/KAOU/TOEUR, PER/SE/KAOU/TOEUR
structurally	STAOUFPL/HREU, STRUBG/TRAL/HREU, STRAOUFPL/HREU, STRUBGT/RAEL, STRUBGT/AOUR/HREU, STRUBG/TAOUR/HREU, STRUBG/TAOURL/HREU, STRUBG/KHUR/HREU
Newcastle-upon-Tyne	TPHU/KAS/-L/POPB/TAOEUPB, TPHAOU/KAS/-L/POPB/TAOEUPB, TPH*U/KAS/-L/POPB/TAOEUPB, TPHAO*U/KAS/-L/POPB/TAOEUPB, TPHAOU/KA*S/-L/POPB/TAOEUPB
thymocyte	THAOEUPL/KWRO/KRAOEUT, THAOEUPL/SKWRO/KRAO*EUT, THAOEUPL/KRAOEUT
entrepreneurs	PRAOURPBS
pregnancy{.}	PREG/STPEUPL, PREG/SPEUL
caruncle	KAR/UPBG/*L, KAR/*UPBG/*L
{!'}	STKPWHR-FPLT/SKW-TS
pilgrimage	PEULG/PHAPBLG, PEUL/TKPWREUPL/APBLG
overreacts	OEFR/RAOE/ABGTS, AUFR/RE/ABGT/-S
MS	PHOEUS
points	POEUPT/-S, POEUPBTS, POEUBT/-S, POEUPBLT/-S, POEUPBT/-S
v	SR*/SP-S
cervicodorsal	SEFRB/KO/TKOR/SAL
drinker	TKREUPB/KER
deafened	TKEFPB/-D
hurricane	HUR/KAEUPB, HAOUR/KAEUPB, HUR/REU/KAEUPB
tassle	TAFL
mileage	PHAOEUL/APBLG
Today In Tabs	TOED/TPH/TABS
hit	HEUT
A.D.	AFPLT/TK-FPLT
remarried	RE/PHAEUR/-D, RAOE/PHAEUR/EUD
writes	WRAOEUTS, WREUS
whites	WHAOEUT/-S, WHAOEUTS
{post^}	PO*EFT
bum	PWUPL
roamed	ROEPLD, ROEPL/-D
well-to-do	W*EL/TO/TKO, TWOEL/TKO
mingling	PHEUPBG/HREUPBG, PHEUPBG/HR-G, PHEUPBG/*L/-G, PHEUPBG/-LG
chatty	KHAT/KWREU
macadam	PHA/KAD/APL, PHABG/AD/APL
clinicals	KHR*EULS
adventurous	SR*EPBG/RUS, SREPBG/ROUS, AD/SREFRPBLG/ROUS, AD/SREPB/KHROUS, AD/SREFRPBLG/KWRUR/OUS, AD/SREPB/KHUR/OUS, AD/SREPB/TRUS, AD/SREPB/KHUR/ROUS, SR*EPBG/ROUS, AD/SREPBT/RUS
Milwaukee	PHEUL/WAUBG/KEU, PHEUL/WAUBG/KAOE, PHEUL/WAUBG/KWREU, PHEUL/WAU/KAOE
Marnier	PHARPB/KWRAEU, PHARPB/KWRAEU/-RBGS
vagovagal	SRA*EUG/SRA*EUG
valorous	SRAL/ROUS
Africa,	AFR/KARBGS
Baxman	PWABGS/PHA*PB
zanily	SA*EUPB/HREU
course	KORS, KOURS, KWORS
familiarly	TPAPL/HREU
Crimean	KRAOEU/PHAOE/KWRAPB
Viader	SRAOE/A/TKAEUR
blink	PWHR*EUPBG, PWHREUPB/-BG, PWHREUPB/*BG
nitrosamine	TPHAOEU/TROES/PHAOEUPB, TPHAOEU/TROE/SA/PHAOEUPB, TPHAOEURT/OES/PHAOEUPB
calcium	KALS/KWRUPL, KAL/SEU/UPL, KHRO*EUPL, KALGS/KWRUPL, KAFPL, SKPHRUPL, SKHRUPL, KAULS/KWRUPL, KHA*FPL, KALTS/KWRUPL, KA*FPL, KULS/KWRUPL
soldiers	SOELD/KWRERS, SOEL/SKWRER/-S, SHRERPBLGS
whoop-de-doo	WHAOP/TKE/TKAO
DiverseScholar	TKWERS/SKHRA*R
{^eer}	AO*ER
Pokemon	POEBG/PHOPB
cedes	SAEDZ
garbled	TKPWAR/-BLD, TKPWARBLD
prohibitively	PRO/HEUB/TEUFL, PROE/HEUBT/EUFL, PROEUBT/EUFL
three-ring circus	THRAOE/REUPBG/SEURBG/KWRUS
Rolodex	RO/HRO/TKEBGS
